Periode;Area;Witel;Branch;STO;Order_ID;Flag_Exclude;SLA_Status;Duration_Hours
202606;AREA 3;JATIM;SURABAYA;TNS;AOi42604260240385616279b0;1;Anomaly;2,57
202606;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;SMI;AOs3260430090614430fa4c10;1;Anomaly;-3,08
202606;AREA 3;JATIM;SURABAYA;KRP;AOi1260427064847440575d80;0;Comply;-23,99
202606;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;SMI;AOi4260424105253134ed04f0;1;Anomaly;-33,25
202606;AREA 4;KALIMANTAN;BANJARMASIN;LUL;AOb0260425124634415e61f40;0;Comply;-44,16
202606;AREA 4;KALIMANTAN;BANJARMASIN;ULI;AOi4260420125130609b19c40;1;Anomaly;-74,30
202606;AREA 1;SUMBAGSEL;PANGKAL PINANG;TBI;AOi426042705352310078be20;0;Comply;-1,50
202606;AREA 4;SULAWESI;MAKASSAR;PKN;AOi42604200556279456c5ea0;0;Comply;-120,32
202606;AREA 3;JATENG-DIY;MAGELANG;KTW;AOi426042410312457025ce70;0;Comply;0,25
202606;AREA 1;SUMBAGUT;WESTERN MEDAN;PTL;AOi42604270442183091d1080;0;Comply;-1,21
202606;AREA 1;SUMBAGUT;WESTERN MEDAN;KSG;AOi42604190440366889c30c0;0;Comply;-19,06
202606;AREA 3;JATENG-DIY;MAGELANG;KBM;AOi4260422043923400ed4c70;0;Comply;0,13
202606;AREA 1;SUMBAGTENG;PADANG;BLS;AOi42604241128235330e4e60;1;Anomaly;4,45
202606;AREA 3;JATIM;LAMONGAN;CRM;AOi4260425084716922094300;1;Anomaly;-15,89
202606;AREA 4;KALIMANTAN;PONTIANAK;SAO;AOi4260429020834679ef0d80;1;Anomaly;-21,12
202606;AREA 3;JATIM;SURABAYA;MGO;AOi42604200225528374f9750;0;Comply;-74,54
202606;AREA 1;SUMBAGUT;PEMATANG SIANTAR;BST;AOi4260423125446999c87900;0;Comply;2,08
202606;AREA 4;KALIMANTAN;PONTIANAK;STA;AOk4260421104022151a9e610;1;Anomaly;-2,53
202606;AREA 4;SULAWESI;MAKASSAR;TMA;AOi4260424023037091ee8500;0;Comply;-28,37
202606;AREA 3;JATENG-DIY;PEKALONGAN;BLU;AOi4260427032113465080c70;1;Anomaly;2,52
202606;AREA 2;WESTERN JABOTABEK;SERANG;SEG;AOi42604230411260670f16d0;0;Not Comply;10,84
202606;AREA 2;JABAR;CIREBON;JCG;AOi1260428124744648fe44e0;1;Anomaly;2,48
202606;AREA 1;SUMBAGTENG;PEKANBARU;PBB;AOi1260425102128912bc5530;1;Anomaly;-148,00
202606;AREA 2;JABAR;CIREBON;JCG;AOi1260428124744648fe44e0;1;Anomaly;-15,03
202606;AREA 4;KALIMANTAN;PALANGKARAYA;PRC;AOi42604201248340253d5cf0;0;Anomaly;-20,63
202606;AREA 3;JATIM;SURABAYA;LKI;AOi42604241107019833171e0;0;Comply;-2,75
202606;AREA 1;SUMBAGSEL;PALEMBANG;BTA;AOi4260428121301298398e50;0;Comply;-46,78
202606;AREA 3;JATENG-DIY;PURWOKERTO;PWT;AOk4260417102606593370530;0;Comply;-140,63
202606;AREA 2;JABAR;BANDUNG;CJR;AOi126042312342313957f560;0;Comply;-21,84
202606;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;TBE;AOi4260428124935527d8a3d0;0;Comply;-22,31
202606;AREA 4;KALIMANTAN;PONTIANAK;SAO;AOi4260429020834679ef0d80;0;Comply;-15,79
202606;AREA 3;JATENG-DIY;SEMARANG;GNK;AOi4260419064058663b54060;1;Anomaly;25,43
202606;AREA 3;JATENG-DIY;SEMARANG;DMA;AOi4260420025736493b7c7a0;1;Anomaly;28,17
202606;AREA 1;SUMBAGSEL;BENGKULU;TSS;AOi42604180540305871cb600;0;Anomaly;-2,39
202606;AREA 4;SULAWESI;MAKASSAR;MAT;AOi4260419102840272be2b80;0;Comply;-19,54
202606;AREA 1;SUMBAGUT;RANTAU PRAPAT;ANR;AOi426042009431926176cc30;0;Comply;-25,13
