Periode;Area;Witel;Branch;STO;Order_ID;Flag_Exclude;SLA_Status;Duration_Hours
202601;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi425112002265099779ef40;0;Anomaly;
202601;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi42511171236464798b9d80;0;Anomaly;
202601;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi42511130156184112b6670;0;Anomaly;
202601;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi42511171236464798b9d80;0;Anomaly;
202601;AREA 1;SUMBAGUT;CENTRAL MEDAN;TTG;AOs32511170952575350f7430;0;Anomaly;
202601;AREA 1;SUMBAGUT;CENTRAL MEDAN;TTG;AOi42511261112379721093f0;0;Anomaly;
202601;AREA 1;SUMBAGUT;PEMATANG SIANTAR;DLS;AOb0251118103356405687c60;0;Anomaly;
202601;AREA 1;SUMBAGTENG;PADANG;ALH;AOi4251102115926148d40b70;0;Anomaly;
202601;AREA 1;SUMBAGTENG;BATAM;BLP;AOi4251109084603617962e90;0;Comply;2,47
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi42511030253179766d5fc0;0;Anomaly;
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi42511130125334415cbbb0;0;Comply;1,39
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi425112702531249701ecd0;0;Anomaly;
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi4251112105236832657950;0;Anomaly;
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi42511030253179766d5fc0;0;Comply;-96,68
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi42511030253179766d5fc0;0;Anomaly;
202601;AREA 1;SUMBAGUT;CENTRAL MEDAN;TTG;AOi4251107094201216d023e0;0;Anomaly;
202601;AREA 1;SUMBAGSEL;LAMPUNG;LKP;AOi4251105115727778de3390;0;Comply;-24,48
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOi4251107043525154c9c6d0;0;Anomaly;
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOi425112911151914481ccb0;0;Anomaly;
202601;AREA 1;SUMBAGSEL;PALEMBANG;PGC;AOi1251103064501116138c30;0;Comply;-22,18
202601;AREA 1;SUMBAGSEL;PALEMBANG;PGC;AOi125112110193974673e5a0;0;Anomaly;
202601;AREA 1;SUMBAGSEL;PALEMBANG;PGC;AOs32511281026492641bc8f0;0;Anomaly;
202601;AREA 1;SUMBAGSEL;PALEMBANG;PGC;AOi42511070548561696c2550;0;Anomaly;
202601;AREA 1;SUMBAGSEL;PANGKAL PINANG;TBI;AOi4251104090927019302570;0;Not Comply;4,37
202601;AREA 1;SUMBAGSEL;LAMPUNG;TKB;AOi42510250225438569b3640;0;Anomaly;
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOi4251114054803098fcdd80;0;Anomaly;
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOk4251119082559621e4f500;0;Anomaly;
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOi4251128085449682b00c60;0;Anomaly;
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;PDAk425112809135815166ba30;0;Anomaly;
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOi4251119110408567428ad0;0;Anomaly;
202601;AREA 1;SUMBAGSEL;PANGKAL PINANG;TBI;AOi425110511023623759cca0;0;Anomaly;
202601;AREA 1;SUMBAGSEL;PANGKAL PINANG;TBI;AOi4251115054640546371e60;0;Anomaly;
202601;AREA 1;SUMBAGSEL;PANGKAL PINANG;TBI;AOi4251104071420526343000;0;Anomaly;
202601;AREA 1;SUMBAGUT;RANTAU PRAPAT;ANP;AOi42511140432540528dd480;0;Anomaly;
202601;AREA 1;SUMBAGUT;RANTAU PRAPAT;ANP;AOi4251122074800322f32820;0;Anomaly;
202601;AREA 1;SUMBAGUT;RANTAU PRAPAT;ANP;AOi4251122074800322f32820;0;Anomaly;
202601;AREA 1;SUMBAGUT;RANTAU PRAPAT;ANP;AOs325111809280249711dfe0;0;Anomaly;
202601;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi42511151212046938626f0;0;Anomaly;
202601;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi4251110024558501c24030;0;Anomaly;
202601;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi42511170610067349cd510;0;Anomaly;
202601;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi4251108022305919c13580;0;Anomaly;
202601;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi4251120123011059f32a80;0;Anomaly;
202601;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi42511010904126822bc250;0;Anomaly;
202601;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi4251107010356448db11f0;0;Anomaly;
202601;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi42510270851578691bc240;0;Anomaly;
202601;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi4251117125039548849f00;0;Anomaly;
202601;AREA 1;SUMBAGUT;RANTAU PRAPAT;KIS;AOi4251114063705661a83d70;0;Anomaly;
202601;AREA 1;SUMBAGUT;RANTAU PRAPAT;KIS;AOi425102903123860962e460;0;Anomaly;
202601;AREA 1;SUMBAGUT;RANTAU PRAPAT;KIS;AOi4251106113527714a67d30;0;Anomaly;
202601;AREA 1;SUMBAGUT;BANDA ACEH;DAR;AOi4251117080552881cf4870;0;Anomaly;
202601;AREA 1;SUMBAGUT;BANDA ACEH;DAR;AOi4251105110336876401b40;0;Anomaly;
202601;AREA 1;SUMBAGUT;BANDA ACEH;DAR;AOi4251106090050680bcd2d0;0;Anomaly;
202601;AREA 1;SUMBAGUT;BANDA ACEH;DAR;AOi4251118100142529612630;0;Anomaly;
202601;AREA 1;SUMBAGUT;BANDA ACEH;DAR;AOi42511290539048310ba6a0;0;Anomaly;
202601;AREA 1;SUMBAGUT;BANDA ACEH;DAR;AOi425111902451619261fc90;0;Anomaly;
202601;AREA 1;SUMBAGUT;CENTRAL MEDAN;BLW;PDAk425111712261156643d7f0;0;Anomaly;
