Periode;org_1;org_2;org_3;sto;order_id;trouble_no;flag_exclude_all;is_duplicate_order;Wilsus
202606;AREA 2;WESTERN JABOTABEK;SERANG;BAY;AOi4260426022637521ae3900;INC50514818;0;0;0
202606;AREA 3;JATIM;SURABAYA;KRP;AOi1260427064847440575d80;INC50513838;0;0;0
202606;AREA 4;MALUKU DAN PAPUA;JAYAPURA;WAE;AOi42604270307000620ab480;INC50511731;0;0;0
202606;AREA 4;SULAWESI;PALU;PLB;AOi426042709311529493a2b0;INC50508674;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;PUB;AOi4260427031018233f22550;INC50508347;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;MDC;AOi4260429101806734305cf0;INC50507957;0;0;0
202606;AREA 4;KALIMANTAN;SAMARINDA;SBR;AOi42604240835224105ef480;INC50507467;0;0;0
202606;AREA 4;KALIMANTAN;SAMARINDA;STT;AOi42604290457025269b0f40;INC50503131;0;0;0
202606;AREA 4;KALIMANTAN;PONTIANAK;SAO;AOi426042502484383157fd20;INC50503201;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;BAR;AOi42604260817054754821e0;INC50501511;0;0;0
202606;AREA 3;BALI NUSRA;MATARAM;BIM;AOk42604240501165341a8ea0;INC50500955;0;0;0
202606;AREA 2;JABAR;TASIKMALAYA;CIW;AOi4260427044744893a240a0;INC50500142;0;0;0
202606;AREA 3;JATENG-DIY;MAGELANG;GOM;AOi4260426121729523b20e60;INC50498139;0;0;0
202606;AREA 1;SUMBAGUT;RANTAU PRAPAT;TJB;AOi1260425092110501124490;INC50498089;0;0;0
202606;AREA 3;JATIM;SURABAYA;OMB;AOi4260427104230055a0be50;INC50497434;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;GEU;AOi42604200500328511c2370;INC50496946;0;0;0
202606;AREA 1;SUMBAGSEL;BENGKULU;LHT;AOi42604180128005747e0450;INC50496581;0;0;0
202606;AREA 3;JATENG-DIY;SEMARANG;KUD;AOi12604260149560330911d0;INC50494617;0;0;0
202606;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;CKG;AOi4260429125011501335ba0;INC50494579;0;0;0
202606;AREA 1;SUMBAGUT;WESTERN MEDAN;LSM;AOi426042612580136792d700;INC50493955;0;0;0
202606;AREA 2;JABAR;TASIKMALAYA;CMS;AOi4260427090523393a9bff0;INC50493685;0;0;0
202606;AREA 4;MALUKU DAN PAPUA;SORONG;NAB;AOi4260429125753476604030;INC50493239;0;0;0
202606;AREA 3;JATENG-DIY;MAGELANG;KBM;AOi4260422043923400ed4c70;INC50492355;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;SUG;AOi4260424042156673747f30;INC50490634;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;SUG;AOi42604281119193820deb80;INC50488510;0;0;0
202606;AREA 3;BALI NUSRA;DENPASAR;SGR;AOi426042809533025489faa0;INC50488711;0;0;0
202606;AREA 3;BALI NUSRA;MATARAM;GER;AOi42604250727341744dfa90;INC50487723;0;0;0
202606;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;TRT;AOk42604160936200909050b0;INC50486825;0;0;0
202606;AREA 4;MALUKU DAN PAPUA;JAYAPURA;ABE;AOi4260424020151831a08370;INC50485621;0;0;0
202606;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;CPE;AOi4260425024119789f2baa0;INC50484021;0;0;0
202606;AREA 1;SUMBAGUT;WESTERN MEDAN;KSG;AOi42604190440366889c30c0;INC50483484;0;0;0
202606;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;CKG;AOs326042901531713791f9f0;INC50480291;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;AOi42604240854054562ab000;INC50478891;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;MBO;AOi4260425093036684f29810;INC50477371;0;0;0
202606;AREA 2;JABAR;TASIKMALAYA;PAX;AOi4260423104531646752470;INC50476900;0;0;0
202606;AREA 1;SUMBAGSEL;JAMBI;BKO;AOi42604220452225462ddc00;INC50472802;0;0;0
