Periode;org_1;org_2;org_3;sto;order_id;trouble_no;flag_exclude_all;is_duplicate_order;Wilsus
202601;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi425112002265099779ef40;INC43483965;0;0;0
202601;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi42511171236464798b9d80;INC44761137;0;1;0
202601;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi42511130156184112b6670;INC43801579;0;0;0
202601;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi42511171236464798b9d80;INC44986452;0;1;0
202601;AREA 1;SUMBAGUT;CENTRAL MEDAN;TTG;AOs32511170952575350f7430;INC42696762;0;0;0
202601;AREA 1;SUMBAGUT;CENTRAL MEDAN;TTG;AOi42511261112379721093f0;INC45610231;0;0;0
202601;AREA 1;SUMBAGUT;PEMATANG SIANTAR;DLS;AOb0251118103356405687c60;INC43196252;0;0;0
202601;AREA 1;SUMBAGTENG;PADANG;ALH;AOi4251102115926148d40b70;INC44800844;0;0;0
202601;AREA 1;SUMBAGTENG;BATAM;BLP;AOi4251109084603617962e90;INC44521977;0;0;0
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi42511030253179766d5fc0;INC42591517;0;1;0
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi42511130125334415cbbb0;INC44371603;0;0;0
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi425112702531249701ecd0;INC45063958;0;0;0
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi4251112105236832657950;INC43562312;0;0;0
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi42511030253179766d5fc0;INC43083139;0;1;0
202601;AREA 1;SUMBAGTENG;PADANG;SGD;AOi42511030253179766d5fc0;INC43018099;0;1;0
202601;AREA 1;SUMBAGUT;CENTRAL MEDAN;TTG;AOi4251107094201216d023e0;INC43866149;0;0;0
202601;AREA 1;SUMBAGSEL;LAMPUNG;LKP;AOi4251105115727778de3390;INC43215332;0;0;0
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOi4251107043525154c9c6d0;INC42491505;0;0;0
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOi425112911151914481ccb0;INC45467063;0;0;0
202601;AREA 1;SUMBAGSEL;PALEMBANG;PGC;AOi1251103064501116138c30;INC43300319;0;0;0
202601;AREA 1;SUMBAGSEL;PALEMBANG;PGC;AOi125112110193974673e5a0;INC43464171;0;0;0
202601;AREA 1;SUMBAGSEL;PALEMBANG;PGC;AOs32511281026492641bc8f0;INC43276271;0;0;0
202601;AREA 1;SUMBAGSEL;PALEMBANG;PGC;AOi42511070548561696c2550;INC43798323;0;0;0
202601;AREA 1;SUMBAGSEL;PANGKAL PINANG;TBI;AOi4251104090927019302570;INC44006703;0;0;0
202601;AREA 1;SUMBAGSEL;LAMPUNG;TKB;AOi42510250225438569b3640;INC43154390;0;1;0
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOi4251114054803098fcdd80;INC44652007;0;0;1
202601;AREA 1;SUMBAGSEL;JAMBI;MAB;AOk4251119082559621e4f500;INC44650714;0;0;1
