Periode;org_1;org_2;org_3;sto;order_id;trouble_no;ket_exclude;Wilsus
202605;AREA 4;SULAWESI;KENDARI;KDR;AOi4260328083408246a3e560;INC49055105;;0
202605;AREA 3;JATENG-DIY;SEMARANG;GNK;AOi426031505170616687f5b0;INC49054066;;0
202605;AREA 2;JABAR;TASIKMALAYA;KAW;AOs3260320013310173bf09a0;INC49051256;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;SPM;AOi12603110114447993559c0;INC49050258;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;TTG;AOi4260318052319982536010;INC49046974;;0
202605;AREA 2;WESTERN JABOTABEK;SERANG;CKA;AOi426032307410134831e760;INC49046264;;0
202605;AREA 1;SUMBAGTENG;BATAM;NGS;AOi4260309041105687e6c2e0;INC49045850;;0
202605;AREA 4;SULAWESI;KENDARI;MDG;AOi4260322051746003876ae0;INC49045673;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;MBO;AOi4260316020128377163620;INC49045384;;0
202605;AREA 4;KALIMANTAN;BANJARMASIN;STI;AOi4260325054422754e0ed40;INC49045473;;0
202605;AREA 1;SUMBAGUT;PEMATANG SIANTAR;SDK;AOi42603130132340462eb4f0;INC49044059;;0
202605;AREA 3;BALI NUSRA;DENPASAR;SGR;AOi1260228044540042134410;INC49040248;;0
202605;AREA 4;KALIMANTAN;BANJARMASIN;BLC;AOi4260323011932584ebc400;INC49040034;;0
202605;AREA 1;SUMBAGTENG;DUMAI;BKN;AOi426031106440315543dfb0;INC49038847;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;TJM;AOi4260330061636616bb4a90;INC49036695;;0
202605;AREA 3;BALI NUSRA;KUPANG;KEF;AOi4260323100210971e38fe0;INC49035647;;0
202605;AREA 1;SUMBAGSEL;LAMPUNG;BDA;AOi1260312052830163d558f0;INC49035416;;0
202605;AREA 1;SUMBAGUT;PEMATANG SIANTAR;BLG;AOk426032409230127516ceb0;INC49034492;;0
