Periode;org_1;org_2;org_3;sto;order_id;trouble_no;flag_exclude_all;is_duplicate_order;Wilsus
202608;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;PSR;AOs3260531023644557814b50;INC49857641;0;0;0
202608;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;PLM;AOs3260601062932866802640;INC49859156;0;0;0
202608;AREA 2;WESTERN JABOTABEK;TANGERANG;CPA;AOi4260529081858886f9af00;INC49874662;0;0;0
202608;AREA 2;JABAR;BANDUNG;LBG;AOs32605311045465805f2900;INC49890123;0;0;0
202608;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;PDK;AOi4260531071203787f7c700;INC49915036;0;0;0
202608;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;GAN;AOi1260603012048469eda300;INC49924776;0;0;0
202608;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;GAN;AOk42606010336508800a3530;INC49945366;0;0;0
202608;AREA 2;EASTERN JABOTABEK;KARAWANG;TAR;AOi42606020259595970cf0e0;INC49970749;0;0;0
202608;AREA 2;JABAR;BANDUNG;SDL;PDAk4260531101550273f9fb20;INC49976257;0;0;0
202608;AREA 2;EASTERN JABOTABEK;BEKASI;KRA;AOk4260531045342314400db0;INC49984817;0;0;0
202608;AREA 2;EASTERN JABOTABEK;BOGOR;TJO;AOi4260604044801307d859f0;INC49987938;0;0;0
202608;AREA 2;WESTERN JABOTABEK;TANGERANG;CKL;AOi4260605123325787f3f2f0;INC50007811;0;0;0
202608;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;BIN;AOi4260604043523570126d00;INC50016336;0;0;0
202608;AREA 2;JABAR;BANDUNG;SDL;AOi4260605055153113e0eac0;INC50018194;0;0;0
202608;AREA 2;WESTERN JABOTABEK;SERANG;KSB;AOi12606041106409545da6c0;INC50019581;0;0;0
202608;AREA 2;EASTERN JABOTABEK;BOGOR;CLS;AOs32605290654271120ac620;INC50022210;0;0;0
202608;AREA 2;JABAR;BANDUNG;BDK;AOi42606040657159398e0090;INC50033303;0;0;0
202608;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;PGG;AOs326060507265713409a4a0;INC50035611;0;0;0
202608;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;STR;AOi42606040203204680d7710;INC50060963;0;0;0
