Periode;Area;Witel;Branch;STO;Order_ID;Flag_Exclude;SLA_Status;Duration_Hours
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi4260120060336741ea3870;0;Anomaly;
202603;AREA 4;KALIMANTAN;BALIKPAPAN;MBD;AOi4260124033425109c9ff70;0;Anomaly;
202603;AREA 4;KALIMANTAN;BALIKPAPAN;MBD;AOi426011908153994725ebd0;0;Anomaly;
202603;AREA 4;KALIMANTAN;BALIKPAPAN;MBD;AOi42601190505262587e6190;0;Anomaly;
202603;AREA 4;KALIMANTAN;PONTIANAK;SRY;AOi42601171159014868b5ff0;0;Anomaly;
202603;AREA 4;KALIMANTAN;PONTIANAK;SRY;AOi4260126093427168734f00;0;Anomaly;
202603;AREA 4;KALIMANTAN;PONTIANAK;SRY;AOi4260125022624130eab3d0;0;Anomaly;
202603;AREA 4;KALIMANTAN;PONTIANAK;SRY;AOi426011007582720239c670;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi42512240510182003eea00;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi4260118104139691bcf720;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi426010403204265941ab00;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi4260106081042958d82430;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi42601200730500125620c0;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi42601220114398549bc550;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi4260121015456509041080;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi4260109085419693bc4310;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi4260121015456509041080;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi4260130042930642373ad0;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOk4260124104608498d40160;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi4260128013636867c7c8e0;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi42601120230563519b7120;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi4260129092817244eada60;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOk4260108120347755c59960;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi4260106015047308f28c20;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi42601100104535015845a0;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi4260128013636867c7c8e0;0;Anomaly;
202603;AREA 4;SULAWESI;MANADO;TUT;AOi4260131062433552d6f7e0;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi4260109055322295da6070;0;Anomaly;
202603;AREA 4;SULAWESI;KENDARI;MDG;AOi4260103081008765c48160;0;Anomaly;
202603;AREA 4;SULAWESI;MAKASSAR;MAT;AOi42601290844156015784c0;0;Anomaly;
202603;AREA 4;SULAWESI;MAKASSAR;MAT;AOi4260130104423379d84490;0;Anomaly;
202603;AREA 4;SULAWESI;MAKASSAR;MAT;AOi1260107035100740fc12f0;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;AMBON;ABO;AOk42601190820432069a89c0;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;AMBON;ABO;AOi426012812061537971b250;0;Anomaly;
202603;AREA 4;MALUKU DAN PAPUA;AMBON;ABO;AOi4260106080742969ff1d90;0;Anomaly;
202603;AREA 4;KALIMANTAN;BALIKPAPAN;SEP;AOi42601270900233505a7600;0;Anomaly;
202603;AREA 4;KALIMANTAN;BALIKPAPAN;SEP;AOi4260108024305779616680;0;Anomaly;
202603;AREA 4;KALIMANTAN;BALIKPAPAN;SEP;AOi4260124061319250a0ad80;0;Anomaly;-23,15
202603;AREA 4;KALIMANTAN;BALIKPAPAN;SEP;AOi4260124061319250a0ad80;0;Anomaly;
202603;AREA 4;KALIMANTAN;BALIKPAPAN;KBG;AOi42601170922477169422c0;0;Anomaly;
