Periode;Area;Witel;Branch;STO;Order_ID;Flag_Exclude;SLA_Status;Duration_Hours
202605;AREA 2;WESTERN JABOTABEK;SERANG;CLG;AOi42603300500533254c1a00;0;Anomaly;
202605;AREA 1;SUMBAGSEL;LAMPUNG;TJK;AOi4260330120010577bd5b60;0;Anomaly;
202605;AREA 3;BALI NUSRA;DENPASAR;LVN;AOi4260330025310144b8c1d0;0;Anomaly;
202605;AREA 2;WESTERN JABOTABEK;SERANG;LGK;AOi42603300843032311aad70;0;Anomaly;
202605;AREA 3;JATIM;SIDOARJO;TPO;AOi4260330105014805541200;0;Anomaly;
202605;AREA 3;BALI NUSRA;MATARAM;SAP;AOi4260328082150380a6fff0;0;Anomaly;
202605;AREA 2;JABAR;BANDUNG;LBG;AOi4260329093800192ec8eb0;0;Anomaly;
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;LBP;AOi4260330081520140160860;0;Anomaly;
202605;AREA 3;JATENG-DIY;PEKALONGAN;KDW;AOi4260325023508401a64cc0;0;Anomaly;
202605;AREA 1;SUMBAGSEL;JAMBI;RBB;AOi42603300342056742f4670;0;Anomaly;
202605;AREA 4;KALIMANTAN;TARAKAN;TRK;AOi4260330054651016a1a840;0;Comply;-3,64
202605;AREA 1;SUMBAGUT;WESTERN MEDAN;KSG;AOi42603280455156930f87f0;0;Anomaly;
202605;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;PGG;AOi42603290403386828cfb80;0;Anomaly;
202605;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;CKG;AOi126032809173503507b2c0;0;Anomaly;
202605;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;CKG;AOi4260318043020237e65790;0;Anomaly;
202605;AREA 3;BALI NUSRA;DENPASAR;TOP;AOi4260327054154187c0bcb0;0;Anomaly;
202605;AREA 3;JATIM;SURABAYA;MGO;AOi4260328012214008874bb0;0;Anomaly;
202605;AREA 4;KALIMANTAN;PONTIANAK;SPY;AOi426032703463076426ef80;0;Anomaly;
202605;AREA 4;SULAWESI;PALU;KOL;AOi426032708274520344ce80;0;Anomaly;
202605;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;PSP;AOi42603300821518901c9de0;0;Anomaly;
202605;AREA 3;JATENG-DIY;SEMARANG;SLI;AOs32603271023260947e1770;0;Anomaly;
202605;AREA 1;SUMBAGUT;BANDA ACEH;BPD;AOi426032511085169176bbe0;0;Anomaly;
202605;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;KRG;AOi4260330044800989f1c590;0;Anomaly;
202605;AREA 1;SUMBAGUT;WESTERN MEDAN;KSG;AOi426031912094426258edf0;0;Anomaly;
202605;AREA 2;JABAR;BANDUNG;RJW;AOi42603300645152916b0d40;0;Anomaly;
202605;AREA 1;SUMBAGSEL;PANGKAL PINANG;PGP;AOi4260327043715925e85010;0;Anomaly;
202605;AREA 4;SULAWESI;KENDARI;KDR;AOi426032902445693686af50;0;Anomaly;
202605;AREA 4;KALIMANTAN;PONTIANAK;SEI;AOi4260326095227972818fe0;0;Anomaly;
202605;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;KRG;AOi1260326013822107d74850;0;Anomaly;
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;AOi426033110380932488faf0;0;Anomaly;
202605;AREA 4;SULAWESI;KENDARI;PMA;AOi42603270846563789804e0;0;Anomaly;
202605;AREA 1;SUMBAGSEL;BENGKULU;LLG;AOi42603280940106900f6830;0;Anomaly;
202605;AREA 1;SUMBAGSEL;PALEMBANG;SKY;AOi4260325090643431d04790;0;Anomaly;
