Periode;org_1;org_2;org_3;sto;order_id;trouble_no;flag_exclude_all;is_duplicate_order;Wilsus
202607;AREA 4;KALIMANTAN;PONTIANAK;SRD;AOi42604280341070259ae190;INC48810116;1;0;0
202607;AREA 4;KALIMANTAN;BANJARMASIN;STI;AOi4260501102958287717e80;INC48810260;0;0;0
202607;AREA 4;MALUKU DAN PAPUA;TIMIKA;TMR;AOi42604290324468959e9d20;INC48821652;1;1;0
202607;AREA 4;KALIMANTAN;PONTIANAK;SPY;AOi4260428045209002ea31e0;INC48822110;1;0;0
202607;AREA 4;KALIMANTAN;BALIKPAPAN;PTG;AOb0260429014938265d0fd70;INC48825901;1;0;0
202607;AREA 4;KALIMANTAN;PONTIANAK;PTK;AOi4260501094712676d37e10;INC48827889;1;0;0
202607;AREA 4;SULAWESI;KENDARI;UNH;AOi4260501090810760fb4fe0;INC48842354;1;0;0
202607;AREA 4;KALIMANTAN;TARAKAN;TRK;AOs3260501084523790265110;INC48851654;1;0;0
202607;AREA 4;SULAWESI;PARE-PARE;PRE;AOi4260501011152106b0dd20;INC48855060;0;1;0
202607;AREA 4;SULAWESI;MAKASSAR;TMA;AOs32605011230040751d0fd0;INC48864855;1;0;0
202607;AREA 4;KALIMANTAN;BANJARMASIN;ULI;AOk4260428103736047220fa0;INC48865072;0;0;0
202607;AREA 4;KALIMANTAN;BANJARMASIN;PGN;AOi4260502063024979ed2c00;INC48871130;1;0;0
202607;AREA 4;MALUKU DAN PAPUA;SORONG;KIN;AOk4260427125515808213280;INC48875757;0;0;0
202607;AREA 4;SULAWESI;KENDARI;MDG;AOs32605031158100890e7c10;INC48891794;1;1;0
202607;AREA 4;KALIMANTAN;BALIKPAPAN;LIK;AOi4260501072820303d9a4b0;INC48892262;0;0;0
202607;AREA 4;SULAWESI;MANADO;BAH;AOi4260504111838086d1a990;INC48896716;1;1;0
202607;AREA 4;KALIMANTAN;BALIKPAPAN;BRU;PDAk4260504065140570193a90;INC48896985;1;0;0
202607;AREA 4;SULAWESI;KENDARI;KDR;AOi42604300958192194cd990;INC48897967;1;0;0
202607;AREA 4;KALIMANTAN;BANJARMASIN;BBR;AOi4260503084829903fb85f0;INC48899515;1;0;0
202607;AREA 4;KALIMANTAN;BANJARMASIN;BLC;AOk42605021015248808585d0;INC48900225;0;1;0
202607;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOk4260428010650058e788d0;INC48902890;0;1;0
202607;AREA 4;SULAWESI;MAKASSAR;SUG;AOi12605020337462561b52e0;INC48903140;1;0;0
202607;AREA 4;SULAWESI;PALU;PGM;AOi4260501071721867ea34a0;INC48904239;1;0;0
202607;AREA 4;SULAWESI;PALU;PLB;AOi4260501122549942d50630;INC48904341;0;0;0
202607;AREA 4;SULAWESI;KENDARI;UNH;AOi4260501062150882a0e2d0;INC48905868;0;0;0
202607;AREA 4;KALIMANTAN;PANGKALAN BUN;KPB;AOi4260427043452783354010;INC48914837;0;0;0
202607;AREA 4;MALUKU DAN PAPUA;AMBON;ABO;AOk426050409592925936d600;INC48916762;1;1;0
202607;AREA 4;KALIMANTAN;PALANGKARAYA;AMP;AOi4260501012448113081f10;INC48922772;0;0;0
202607;AREA 4;SULAWESI;MAKASSAR;SUG;AOs326043004541999230da20;INC48928253;0;0;0
202607;AREA 4;MALUKU DAN PAPUA;JAYAPURA;WAE;AOi4260501100502684972600;INC48928734;0;1;0
202607;AREA 4;KALIMANTAN;BALIKPAPAN;TNG;AOi42604300557146506e93b0;INC48931677;1;0;0
202607;AREA 4;KALIMANTAN;PONTIANAK;MPW;AOi42605030658196289bf990;INC48932062;1;0;0
202607;AREA 4;SULAWESI;PALU;TWL;AOi4260503030747913d66fa0;INC48932142;1;0;0
202607;AREA 4;SULAWESI;MAKASSAR;SUD;AOi42605031215320027e7f80;INC48933056;0;0;0
202607;AREA 4;KALIMANTAN;BANJARMASIN;BJM;AOi42605010719277821aed40;INC48934027;1;0;0
202607;AREA 4;SULAWESI;MAKASSAR;ANT;AOs3260503111400020480c70;INC48934469;1;0;0
202607;AREA 4;SULAWESI;PALU;PLA;AOi426043004435446539f1b0;INC48935171;1;0;0
202607;AREA 4;MALUKU DAN PAPUA;JAYAPURA;SNI;AOi4260430065739058c915f0;INC48940923;0;0;0
202607;AREA 4;SULAWESI;KENDARI;MDG;AOi1260504044049575d56130;INC48941448;0;0;0
202607;AREA 4;KALIMANTAN;PONTIANAK;STG;AOi42605021011159398c2400;INC48945993;1;0;0
202607;AREA 4;KALIMANTAN;SAMARINDA;STT;AOk4260504041458174a89620;INC48948171;1;0;0
202607;AREA 4;KALIMANTAN;SAMARINDA;SBR;AOi42605030205573411e6cc0;INC48953610;1;0;0
202607;AREA 4;MALUKU DAN PAPUA;JAYAPURA;WAE;AOi4260501100502684972600;INC48955823;0;1;0
